field_name,explanation
id,微博ID
bid,微博的唯一标识符
user_id,用户ID
screen_name,用户昵称
text,微博正文内容
article_url,微博文章链接
location,发布位置
at_users,@的用户
topics,话题
reposts_count,转发数
comments_count,评论数
attitudes_count,点赞数
created_at,发布时间
source,发布来源
pics,图片链接
video_url,视频链接
retweet_id,转发的原微博ID
favorite,是否已收藏
is_long,是否长微博
is_retweet,是否为转发微博
origin_text,原始微博文本
region_name,地区名称
user_description,用户简介
profile_url,用户主页链接
gender,用户性别
followers_count,粉丝数
follow_count,关注数
statuses_count,微博数
verified,是否认证
verified_reason,认证原因
